id,text,user,is_hateful
10296,"The Republic teach us liberty, equality, fraternity. No religion comes into conflict with those values.",user_3,0
10297,"Muslims are not the Islam. They are trying to practice and believe in a religion that does not have to bear responsibility for everyone, and fools are not religions, Muslims are not problem, but you who have a problem with Muslims in the end.",user_7,0
10298,@user mort léger? ils sont mort mais trkl? les gens sont attardé ptn,user_14,0
10299,When will we fight your words?,user_8,0
103,@user @user putain j'ai tellement peur devant tant d'argument d'attardé,user_10,0
1030,le gauchiste : à bas les religions,user_6,0
10300,oui donc le problème de base c'est lui je comprends pas pourquoi il pète un câble comme un gros mongol…,user_5,0
10301,le troll néonazi qui critique le troll gauchiste,user_5,0
10303,quand t'apprends que ton prof d'histoire fait des articles sur des sites pour raconter qu'il est contre l'islamisation de la france,user_9,0
10304,L'islam n'impose rien à personne!,user_6,0
10305,@user si des arabes te disent que nous sommes coupables c'est sûrement que nous nous sommes innencents,user_5,0
10306,grace dieu l été est finie verra - de renois et de rebeux blonds !,user_4,0
10307,Je vois de plus en plus de racisme décomplexé et une fixation sur les musulmans!,user_2,0
10308,@user @user @user et c la que c est une diversion et que le terrorisme n est pas causer par l im… @url,user_15,0
10309,I am a Muslim and I am the Sunna of my Prophet Mohammed.,user_4,0
1031,notre ennemi c'est alain soral et toute sa rhétorique complotiste antisémite,user_8,0
10310,mais ferme ta gueule les renois fake woke ptn,user_8,0
10311,je suis une gauchiste libertaire et catholique pas tres orthodox...,user_15,0
10312,encore un putain de mongol ... les llyonnais vous êtes à chier !!!! @url,user_4,0
10313,La vie des citoyennes musulmanes ne doit pas être prise en otage sous pretexte de faire émerger un concept idéologique.,user_7,0
10316,mes ami(e)s rebeus arrêtez d'aller au cinéma en équipe pour voir des films d'horreurs svp. votre comédie que vous n…,user_14,0
10317,sosracisme.... je préfère ne rien écrire.... cette association gauchiste ne sert à rien ! @url,user_1,0
10318,"Ceux qui connaissent bien l'islam et le pratiquent (M et Mme tout le monde) ne font pas parler d'eux d'une part, d'autre part on en parle rarement voir pas du tout.",user_15,0
1032,que serait un samedi sans la petite sortie reac d'un ado attarde @url,user_7,0
10321,@user oui très bien! mais du coup je ne vois toujours pas la corrélation avec les migrants africains. ^^,user_9,0
10322,C'est impossible car les hommes sont libres de choisir leur religion.,user_10,0
10323,il 20 ans:nle droitard: la france s'islamise.nle gauchiste: facho!nle droitard: l'ecole le niveau baisse les profs ont,user_11,0
10324,ceux là méritent même pas qu'on s'attarde dessus ..j'vais pas faire unanimité là dessus…,user_9,0
10325,netanyahu est courageux car l'unesco est hypocrite et islamo gauchiste @url,user_15,0
10326,pour ou contre l'avortement — pour @url,user_2,0
10327,bassem il fume quand il dit la phrase « black swag de merde (a ne pas confondre avec nos vrais frères renois) »,user_12,0
10328,@user @user @user et que dis-tu de : qualifier de violence les dégradations ou les sabotage… @url,user_10,0
10329,"Veiled women are at home, not because they are locked up, but because the system does everything to remove them from society.",user_15,0
1033,wesh les renois ils ont une réduction pour les airpods ou quoi?,user_7,0
10330,moi hamdoullah je vis dans un pays africain donc mon prenom va pas deranger mais les gens qui ont du mal a…,user_1,0
10331,@user sale mongol dans 10 ans ça sera le feu quand tu seras au rsa mdr,user_5,0
10334,gâteaux rebeus : étape 1,user_12,0
10335,Islamophobia has nothing to do with freedom of expression.,user_5,0
10336,You are reducing the richness of this religion to an interpretation rather than questioning if it is only through your media.,user_7,0
10337,@user mariage des renois c'est plus un taff qu'autre chose,user_7,0
10338,un blanc qui tire sur des juifs c'est un fou. un arabe qui fait la même chose c'est un terroriste.,user_11,0
10339,@user @user @user mdr le club qui le plus de footix attardé c ton club mdr le club le plus corrompu de l histoire,user_3,0
1034,pk ce genre de tweet c tjr rédigé par des rebeus mdr @url,user_15,0
10340,le terrorisme est condamné par tout dans le monde.,user_9,0
10341,les 58 migrants de l'aquarius sont un signe fort envoyé aux africains mais aussi une diversion de ceux…,user_4,0
10342,No assistance to anyone in danger.,user_4,0
10343,Donc vous partez du postulat qu'ils viennent tous d'un seul pays.,user_10,0
10345,je lui laisse le bénéfice du doute. je l'ai trouvé plutôt pas mal en première. jusqu'à sa faute de mongol,user_4,0
10346,Did you know that over 90% of global victims of terrorism are Muslim?,user_2,0
10347,petite pensée aux rebeus qui se font contrôler 8 fois par semaine sachez que benalla va acheter chaque matin son j… @url,user_4,0
10348,la fois où t'as peter un cable sur une meuf qui t'avais traiter de sale arabe ça comptait pas ?,user_8,0
10349,la fachosphere ete inventee par la conosphere gauchiste cours d'arguments. la survie qu'on peut.nla cgt appelle ne,user_4,0
1035,tte façon les meufs qui s'attarde sur le physique elle besoin d'allée en gériatrie voir les couples pour prend… @url,user_5,0
10350,les féministes sont les idiots utiles de causes qui les dépassent. leurs donneurs…,user_4,0
10351,est ce que la drogue inclut aussi le terrorisme certainement car les terroristes sont des drogues…,user_1,0
10352,oui enfin l'impérialisme chinois ça se résume à: cool l'afrique à merde les mongols nous déf…,user_13,0
10353,@user @user jsuis pas raciste negrophobes esh ... j'ai grave des potes renois rebeu asian européens b… @url,user_7,0
10354,"Subject? Whose? What? Where? In France? In Saudi Arabia? In short, many questions to be answered. Can we talk? .",user_10,0
10355,je vous le demande faites en sortes de bloquer l'argent volé aux africains qui est caché dans vos b…,user_1,0
10356,tg c'est vous vous êtes pas drôle bande de mongol,user_9,0
10357,"The amalgam is easy since it starts from a sophism. All terrorists are Muslim (this has yet to be proven). Muslims are all Muslims, so all Muslims are terrorists. This sentence is as true as this sophism: All cats are mortal. Socrates is mortal, so Socrates is a cat.",user_5,0
10358,tu es féministe? — bh j'defends les droits de la femme comme toute femme le fait mais y'a des trucs avec lesquels j… @url,user_1,0
10359,@user @user il peut aussi être un jaune à demi religieux... ou un gauchiste sectaire,user_3,0
1036,les darons renois ya qu'un cancer phase terminale qui peut les faire aller chez le médecin sinon ils se contentent de doliprane 1000g,user_11,0
10360,mdr les rebeus entre parenthèses... la dernière fois je suis aller au coiffeur le mec de là-bas m'a dir…,user_3,0
10362,plus rien ne m'étonne depuis que j'ai entendu un renoi traiter un autre renoi de sale esclave et les 2 ont rigolé],user_12,0
10363,Qui dit problème dit solution.,user_5,0
10364,que tweet mais mongol,user_12,0
10365,et pour les ultra conservateurs tout ce qui est à gauche des républicains est un gauchiste.,user_10,0
10366,@user reminder que tout le monde suce la bite cet attardé parce qu'il fait des blagues sur fortnite,user_9,0
10367,Ça coupe des lampadaires à la meule et ça ce dis fou ?? juste attardé tu sectionne un cable tu reste collé tu bou…,user_7,0
10368,Come and meet us and you will see the meaning of the word freedom.,user_10,0
10369,Les musulmans ne sont pas dignes de confiance.,user_14,0
1037,@user @user @user ah d'accord je ne m'avais pas attardé sur le compte. je crois que moi simp… @url,user_5,0
10371,askip ce sont les renois fort pour lui !,user_14,0
10372,j'trouves pas comment desactiver sur tel jsuis mongol ou quoi,user_3,0
10373,petit cochon capitaliste pro dictatures islamo nazies maçon complotiste pervers et anti peuple celto romano francs…,user_13,0
10374,sos incendie et terroristes partout les palestiniens pratiquent le terrorisme environnemental e…,user_8,0
10375,les rebeus soins comme nous,user_5,0
10376,et restes trql avec tes sales arabe sale vielles conne,user_14,0
10377,tu tiens ta cause perdue d'avance,user_8,0
10378,@user wauquiez est un gauchiste par rapport à nous,user_7,0
1038,@user joyeux 35ème anniversaire à mon gauchiste préféré ^^!,user_13,0
10380,L'homme a peur de ce qu'il ne connais pas.,user_6,0
10381,ne t'attarde pas là dessus!,user_12,0
10382,Non Monsieur/ Madame Les musulmans sont aussi différents que les autres citoyens.,user_1,0
10383,@user qui connaissait ce militant de la cause animale esteban qui tué en se défendant un jeune gauchiste no… @url,user_10,0
10384,What about agoraphobic people?,user_1,0
10385,plus de 60 villes ont déjà dit oui pour venir en aide aux réfugiés. et l… @url,user_9,0
10386,encore un complot judeo-maconnique lgbt gauchiste,user_15,0
10387,@user @user l'islam est néanmoins gangrené car porteur de terrorisme c'est un fait.,user_10,0
10388,ah mais je suis completement d'accord le probleme etant que les questions de genre sont deja loin,user_5,0
10389,e r c,user_4,0
